Grant ID,Funder Name,Funder EIN,Grantee,Grantee EIN,Award Amount,Date Awarded,Period Start,Period End,PCS Subject,PCS Population,Support Strategy,Transaction Type,State,City,Grant Purpose
CG-1015,Cascadia Community Trust,91-1234567,Riverbend Housing Alliance,94-2223334,299000,2024-06-15,2024-06-01,2027-06-01,SD000000,PD010000,UD010000,TC000000,MI,Oakland,Capacity building: financial systems and staff development.
CG-1016,Merrivale Foundation,13-7654321,Riverbend Housing Alliance,94-2223334,637000,2023-01-15,2023-01-01,2025-01-01,SE000000,PB000000,UA000000,TA000000,CA,Oakland,Project support for a two-year expansion of direct services.
CG-1017,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,390000,2024-07-15,2024-07-01,2025-07-01,SD000000; SR000000,PD010000,UC000000,TB000000,CA,Seattle,General operating support for core programs.
CG-1018,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,308000,2023-08-15,2023-08-01,2025-08-01,SJ000000; SR000000,PB000000,UD010000,TC000000,WA,Oakland,Support for policy research and community organizing.
CG-1019,Merrivale Foundation,13-7654321,Meridian Legal Aid,94-8889990,650000,2023-07-15,2023-07-01,2024-07-01,SR000000,PB000000,UC000000,TC000000,WA,Oakland,Project support for a two-year expansion of direct services.
CG-1020,Ostrander Family Fund,45-2468013,Prairie Food Network,94-7778889,463000,2021-12-15,2021-12-01,2023-12-01,SB020000,PA020000,UA000000,TC000000,NY,Detroit,General operating support for core programs.
CG-1021,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,880000,2022-04-15,2022-04-01,2023-04-01,SB020000; SJ000000,PC040000,UB000000,TA000000,TX,Portland,Capacity building: financial systems and staff development.
CG-1022,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,453000,2024-08-15,2024-08-01,2027-08-01,SR000000,PD010000,UB000000,TC000000,NY,Oakland,Project support for a two-year expansion of direct services.
CG-1023,Ostrander Family Fund,45-2468013,Foothills Literacy Project,94-5556667,93000,2023-02-15,2023-02-01,2026-02-01,SD000000,PA020000,UB000000,TB000000,MI,Oakland,Project support for a two-year expansion of direct services.
CG-1024,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,651000,2024-09-15,2024-09-01,2026-09-01,SE000000; SE000000,PA020000,UC000000,TB000000,MI,Oakland,General operating support for core programs.
CG-1025,Merrivale Foundation,13-7654321,Riverbend Housing Alliance,94-2223334,198000,2023-11-15,2023-11-01,2024-11-01,SB020000,PA020000,UB000000,TA000000,CA,Portland,Capacity building: financial systems and staff development.
CG-1026,Ostrander Family Fund,45-2468013,Delta Arts Coalition,94-6667778,335000,2024-02-15,2024-02-01,2026-02-01,SD000000,PA010000,UB000000,TA000000,TX,Oakland,Project support for a two-year expansion of direct services.
CG-1027,Cascadia Community Trust,91-1234567,Foothills Literacy Project,94-5556667,844000,2023-11-15,2023-11-01,2024-11-01,SD000000,PA020000,UB000000,TA000000,NY,Portland,General operating support for core programs.
CG-1028,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,395000,2023-08-15,2023-08-01,2024-08-01,SE000000,PB000000,UB000000,TA000000,MI,Oakland,Project support for a two-year expansion of direct services.
CG-1029,Ostrander Family Fund,45-2468013,Delta Arts Coalition,94-6667778,696000,2022-08-15,2022-08-01,2025-08-01,SB020000,PC040000,UA000000,TA000000,OR,Detroit,Support for policy research and community organizing.
CG-1030,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,29000,2021-06-15,2021-06-01,2024-06-01,SJ000000,PB000000,UA000000,TA000000,OR,Seattle,Support for policy research and community organizing.
CG-1031,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,458000,2021-06-15,2021-06-01,2022-06-01,SJ000000; SC010000,PD010000,UC000000,TA000000,WA,Portland,Support for policy research and community organizing.
CG-1032,Ostrander Family Fund,45-2468013,Meridian Legal Aid,94-8889990,238000,2021-11-15,2021-11-01,2024-11-01,SD000000; SE000000,PA020000,UC000000,TB000000,TX,Seattle,Capacity building: financial systems and staff development.
CG-1033,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,752000,2024-04-15,2024-04-01,2027-04-01,SJ000000,PA020000,UB000000,TC000000,CA,Detroit,Capacity building: financial systems and staff development.
CG-1034,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,27000,2022-10-15,2022-10-01,2023-10-01,SB020000,PC040000,UA000000,TC000000,WA,Oakland,Support for policy research and community organizing.
CG-1035,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,472000,2024-09-15,2024-09-01,2026-09-01,SB050200,PD010000,UB000000,TB000000,MI,Portland,Support for policy research and community organizing.
CG-1036,Cascadia Community Trust,91-1234567,Foothills Literacy Project,94-5556667,233000,2022-06-15,2022-06-01,2023-06-01,SJ000000,PB000000,UB000000,TA000000,OR,Seattle,Project support for a two-year expansion of direct services.
CG-1037,Merrivale Foundation,13-7654321,Prairie Food Network,94-7778889,878000,2021-11-15,2021-11-01,2023-11-01,SR000000,PC040000,UC000000,TC000000,CA,Oakland,Project support for a two-year expansion of direct services.
CG-1038,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,894000,2022-11-15,2022-11-01,2023-11-01,SE000000,PC010000,UC000000,TC000000,TX,Detroit,Support for policy research and community organizing.
CG-1039,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,895000,2021-02-15,2021-02-01,2023-02-01,SB020000; SD000000,PC040000,UB000000,TA000000,OR,Seattle,Capacity building: financial systems and staff development.
CG-1040,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,781000,2021-11-15,2021-11-01,2022-11-01,SB050200,PA020000,UC000000,TB000000,MI,Oakland,General operating support for core programs.
CG-1041,Ostrander Family Fund,45-2468013,Delta Arts Coalition,94-6667778,811000,2021-09-15,2021-09-01,2022-09-01,SB050200; SD000000,PC040000,UB000000,TB000000,NY,Oakland,Support for policy research and community organizing.
CG-1042,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,566000,2023-07-15,2023-07-01,2024-07-01,SC010000,PA010000,UD010000,TA000000,TX,Detroit,Project support for a two-year expansion of direct services.
CG-1043,Merrivale Foundation,13-7654321,Delta Arts Coalition,94-6667778,840000,2021-09-15,2021-09-01,2024-09-01,SD000000; SB020000,PA010000,UB000000,TC000000,NY,Detroit,Capacity building: financial systems and staff development.
CG-1044,Ostrander Family Fund,45-2468013,Riverbend Housing Alliance,94-2223334,832000,2021-09-15,2021-09-01,2022-09-01,SD000000,PB000000,UB000000,TA000000,OR,Seattle,Project support for a two-year expansion of direct services.
CG-1045,Cascadia Community Trust,91-1234567,Riverbend Housing Alliance,94-2223334,640000,2022-08-15,2022-08-01,2023-08-01,SR000000,PA010000,UC000000,TC000000,CA,Oakland,Capacity building: financial systems and staff development.
CG-1046,Merrivale Foundation,13-7654321,Clearwater Conservation Trust,94-3334445,401000,2021-10-15,2021-10-01,2023-10-01,SB050200,PC010000,UC000000,TC000000,NY,Seattle,Support for policy research and community organizing.
CG-1047,Ostrander Family Fund,45-2468013,Riverbend Housing Alliance,94-2223334,689000,2024-04-15,2024-04-01,2025-04-01,SR000000,PA010000,UA000000,TB000000,CA,Portland,General operating support for core programs.
CG-1048,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,145000,2023-09-15,2023-09-01,2024-09-01,SJ000000; SC010000,PC010000,UB000000,TC000000,MI,Detroit,General operating support for core programs.
CG-1049,Merrivale Foundation,13-7654321,Delta Arts Coalition,94-6667778,370000,2022-04-15,2022-04-01,2025-04-01,SE000000; SC010000,PD010000,UC000000,TA000000,OR,Seattle,General operating support for core programs.
CG-1050,Ostrander Family Fund,45-2468013,Meridian Legal Aid,94-8889990,679000,2022-07-15,2022-07-01,2025-07-01,SJ000000,PA010000,UC000000,TB000000,CA,Oakland,Project support for a two-year expansion of direct services.
CG-1051,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,194000,2021-10-15,2021-10-01,2023-10-01,SC010000,PC010000,UC000000,TA000000,MI,Portland,General operating support for core programs.
CG-1052,Merrivale Foundation,13-7654321,Meridian Legal Aid,94-8889990,481000,2021-11-15,2021-11-01,2022-11-01,SR000000,PC010000,UC000000,TA000000,OR,Portland,Support for policy research and community organizing.
CG-1053,Ostrander Family Fund,45-2468013,Clearwater Conservation Trust,94-3334445,471000,2021-04-15,2021-04-01,2023-04-01,SB020000,PC010000,UA000000,TC000000,TX,Seattle,Capacity building: financial systems and staff development.
CG-1054,Cascadia Community Trust,91-1234567,Delta Arts Coalition,94-6667778,560000,2022-08-15,2022-08-01,2023-08-01,SB020000,PD010000,UC000000,TC000000,MI,Oakland,Project support for a two-year expansion of direct services.
CG-1055,Merrivale Foundation,13-7654321,Riverbend Housing Alliance,94-2223334,154000,2023-08-15,2023-08-01,2024-08-01,SC010000,PC040000,UD010000,TC000000,OR,Seattle,Project support for a two-year expansion of direct services.
CG-1056,Ostrander Family Fund,45-2468013,Prairie Food Network,94-7778889,796000,2022-06-15,2022-06-01,2023-06-01,SJ000000,PA010000,UA000000,TA000000,CA,Portland,General operating support for core programs.
CG-1057,Cascadia Community Trust,91-1234567,Northside Youth Collective,94-1112223,91000,2021-10-15,2021-10-01,2022-10-01,SB050200,PC010000,UD010000,TB000000,OR,Detroit,General operating support for core programs.
CG-1058,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,758000,2024-09-15,2024-09-01,2026-09-01,SC010000,PA020000,UB000000,TA000000,WA,Detroit,Capacity building: financial systems and staff development.
CG-1059,Ostrander Family Fund,45-2468013,Foothills Literacy Project,94-5556667,103000,2022-07-15,2022-07-01,2023-07-01,SE000000; SC010000,PC010000,UC000000,TC000000,CA,Detroit,General operating support for core programs.
CG-1060,Cascadia Community Trust,91-1234567,Foothills Literacy Project,94-5556667,844000,2021-04-15,2021-04-01,2024-04-01,SB050200,PB000000,UA000000,TA000000,TX,Oakland,Support for policy research and community organizing.
CG-1061,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,241000,2022-02-15,2022-02-01,2023-02-01,SB050200; SB020000,PB000000,UA000000,TC000000,NY,Oakland,General operating support for core programs.
CG-1062,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,366000,2022-04-15,2022-04-01,2025-04-01,SD000000,PC010000,UD010000,TA000000,MI,Portland,General operating support for core programs.
CG-1063,Cascadia Community Trust,91-1234567,Harbor Health Partners,94-4445556,137000,2021-10-15,2021-10-01,2022-10-01,SE000000,PA010000,UB000000,TC000000,WA,Seattle,Support for policy research and community organizing.
CG-1064,Merrivale Foundation,13-7654321,Clearwater Conservation Trust,94-3334445,411000,2024-06-15,2024-06-01,2025-06-01,SR000000,PB000000,UC000000,TA000000,WA,Seattle,Capacity building: financial systems and staff development.
CG-1065,Ostrander Family Fund,45-2468013,Foothills Literacy Project,94-5556667,114000,2024-09-15,2024-09-01,2025-09-01,SJ000000,PD010000,UD010000,TC000000,MI,Oakland,General operating support for core programs.
CG-1066,Cascadia Community Trust,91-1234567,Foothills Literacy Project,94-5556667,571000,2023-05-15,2023-05-01,2025-05-01,SB050200; SC010000,PC040000,UB000000,TB000000,NY,Seattle,General operating support for core programs.
CG-1067,Merrivale Foundation,13-7654321,Riverbend Housing Alliance,94-2223334,876000,2024-05-15,2024-05-01,2025-05-01,SR000000; SD000000,PB000000,UC000000,TA000000,OR,Oakland,Project support for a two-year expansion of direct services.
CG-1068,Ostrander Family Fund,45-2468013,Delta Arts Coalition,94-6667778,828000,2022-03-15,2022-03-01,2024-03-01,SR000000,PA010000,UB000000,TB000000,OR,Portland,Support for policy research and community organizing.
CG-1069,Cascadia Community Trust,91-1234567,Riverbend Housing Alliance,94-2223334,294000,2023-04-15,2023-04-01,2026-04-01,SR000000; SE000000,PD010000,UC000000,TA000000,OR,Portland,Support for policy research and community organizing.
CG-1070,Merrivale Foundation,13-7654321,Prairie Food Network,94-7778889,470000,2023-06-15,2023-06-01,2025-06-01,SB050200,PC010000,UC000000,TC000000,CA,Seattle,General operating support for core programs.
CG-1071,Ostrander Family Fund,45-2468013,Riverbend Housing Alliance,94-2223334,563000,2022-02-15,2022-02-01,2024-02-01,SB050200,PA010000,UD010000,TC000000,TX,Portland,Project support for a two-year expansion of direct services.
CG-1072,Cascadia Community Trust,91-1234567,Delta Arts Coalition,94-6667778,414000,2022-07-15,2022-07-01,2023-07-01,SC010000,PD010000,UD010000,TC000000,OR,Detroit,General operating support for core programs.
CG-1073,Merrivale Foundation,13-7654321,Delta Arts Coalition,94-6667778,758000,2022-04-15,2022-04-01,2023-04-01,SD000000,PA020000,UD010000,TA000000,NY,Detroit,Project support for a two-year expansion of direct services.
CG-1074,Ostrander Family Fund,45-2468013,Meridian Legal Aid,94-8889990,717000,2021-10-15,2021-10-01,2022-10-01,SC010000,PB000000,UB000000,TC000000,OR,Seattle,Project support for a two-year expansion of direct services.
CG-1075,Cascadia Community Trust,91-1234567,Foothills Literacy Project,94-5556667,175000,2021-04-15,2021-04-01,2022-04-01,SB020000,PC040000,UD010000,TB000000,NY,Detroit,General operating support for core programs.
CG-1076,Merrivale Foundation,13-7654321,Prairie Food Network,94-7778889,802000,2021-08-15,2021-08-01,2024-08-01,SE000000; SC010000,PC040000,UA000000,TB000000,OR,Detroit,Capacity building: financial systems and staff development.
CG-1077,Ostrander Family Fund,45-2468013,Prairie Food Network,94-7778889,277000,2023-01-15,2023-01-01,2026-01-01,SR000000,PA010000,UA000000,TA000000,WA,Detroit,Project support for a two-year expansion of direct services.
CG-1078,Cascadia Community Trust,91-1234567,Delta Arts Coalition,94-6667778,404000,2021-04-15,2021-04-01,2023-04-01,SC010000,PC010000,UB000000,TA000000,TX,Seattle,Project support for a two-year expansion of direct services.
CG-1079,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,288000,2023-10-15,2023-10-01,2024-10-01,SB050200,PC010000,UD010000,TB000000,MI,Portland,Capacity building: financial systems and staff development.
CG-1080,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,864000,2022-12-15,2022-12-01,2025-12-01,SB050200,PA010000,UC000000,TB000000,TX,Seattle,Project support for a two-year expansion of direct services.
CG-1081,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,320000,2024-08-15,2024-08-01,2026-08-01,SB020000,PD010000,UD010000,TC000000,WA,Oakland,Support for policy research and community organizing.
CG-1082,Merrivale Foundation,13-7654321,Meridian Legal Aid,94-8889990,425000,2023-07-15,2023-07-01,2024-07-01,SJ000000,PC010000,UA000000,TB000000,TX,Detroit,Project support for a two-year expansion of direct services.
CG-1083,Ostrander Family Fund,45-2468013,Prairie Food Network,94-7778889,388000,2023-01-15,2023-01-01,2024-01-01,SJ000000,PA010000,UC000000,TC000000,WA,Portland,Capacity building: financial systems and staff development.
CG-1084,Cascadia Community Trust,91-1234567,Meridian Legal Aid,94-8889990,693000,2021-09-15,2021-09-01,2024-09-01,SJ000000; SD000000,PD010000,UB000000,TC000000,WA,Oakland,Project support for a two-year expansion of direct services.
CG-1085,Merrivale Foundation,13-7654321,Prairie Food Network,94-7778889,497000,2021-12-15,2021-12-01,2022-12-01,SR000000,PD010000,UC000000,TB000000,TX,Oakland,General operating support for core programs.
CG-1086,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,599000,2021-02-15,2021-02-01,2024-02-01,SR000000; SC010000,PA020000,UC000000,TC000000,TX,Portland,Capacity building: financial systems and staff development.
CG-1087,Cascadia Community Trust,91-1234567,Harbor Health Partners,94-4445556,380000,2021-01-15,2021-01-01,2024-01-01,SR000000,PB000000,UD010000,TB000000,MI,Seattle,Support for policy research and community organizing.
CG-1088,Merrivale Foundation,13-7654321,Delta Arts Coalition,94-6667778,50000,2024-11-15,2024-11-01,2025-11-01,SE000000; SE000000,PC040000,UA000000,TA000000,MI,Oakland,Support for policy research and community organizing.
CG-1089,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,38000,2023-05-15,2023-05-01,2024-05-01,SJ000000,PA020000,UB000000,TA000000,NY,Seattle,Capacity building: financial systems and staff development.
CG-1090,Cascadia Community Trust,91-1234567,Riverbend Housing Alliance,94-2223334,257000,2022-08-15,2022-08-01,2024-08-01,SC010000,PA020000,UC000000,TB000000,CA,Seattle,Support for policy research and community organizing.
CG-1091,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,261000,2023-02-15,2023-02-01,2025-02-01,SD000000; SB050200,PA010000,UD010000,TA000000,OR,Seattle,General operating support for core programs.
CG-1092,Ostrander Family Fund,45-2468013,Foothills Literacy Project,94-5556667,428000,2024-03-15,2024-03-01,2026-03-01,SB050200,PC040000,UA000000,TC000000,NY,Detroit,Capacity building: financial systems and staff development.
CG-1093,Cascadia Community Trust,91-1234567,Riverbend Housing Alliance,94-2223334,610000,2021-05-15,2021-05-01,2024-05-01,SE000000; SR000000,PC040000,UC000000,TB000000,NY,Portland,Capacity building: financial systems and staff development.
CG-1094,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,26000,2021-02-15,2021-02-01,2022-02-01,SR000000; SB050200,PA010000,UA000000,TC000000,WA,Seattle,Support for policy research and community organizing.
CG-1095,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,282000,2023-03-15,2023-03-01,2024-03-01,SB020000,PA010000,UD010000,TB000000,OR,Portland,General operating support for core programs.
CG-1096,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,761000,2024-06-15,2024-06-01,2025-06-01,SJ000000,PC010000,UD010000,TC000000,NY,Oakland,General operating support for core programs.
CG-1097,Merrivale Foundation,13-7654321,Harbor Health Partners,94-4445556,512000,2022-01-15,2022-01-01,2024-01-01,SB020000,PB000000,UB000000,TA000000,MI,Portland,Capacity building: financial systems and staff development.
CG-1098,Ostrander Family Fund,45-2468013,Harbor Health Partners,94-4445556,170000,2023-03-15,2023-03-01,2025-03-01,SB020000,PA010000,UB000000,TA000000,TX,Detroit,Support for policy research and community organizing.
CG-1099,Cascadia Community Trust,91-1234567,Clearwater Conservation Trust,94-3334445,586000,2021-02-15,2021-02-01,2024-02-01,SR000000,PA020000,UC000000,TC000000,MI,Seattle,General operating support for core programs.
CG-1100,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,281000,2024-07-15,2024-07-01,2025-07-01,SC010000,PA010000,UA000000,TB000000,CA,Detroit,Capacity building: financial systems and staff development.
CG-1101,Ostrander Family Fund,45-2468013,Meridian Legal Aid,94-8889990,118000,2023-05-15,2023-05-01,2024-05-01,SB020000; SB020000,PC040000,UB000000,TC000000,MI,Oakland,Capacity building: financial systems and staff development.
CG-1102,Cascadia Community Trust,91-1234567,Foothills Literacy Project,94-5556667,795000,2021-01-15,2021-01-01,2022-01-01,SB050200,PA020000,UD010000,TA000000,CA,Detroit,Capacity building: financial systems and staff development.
CG-1103,Merrivale Foundation,13-7654321,Harbor Health Partners,94-4445556,537000,2022-12-15,2022-12-01,2025-12-01,SD000000,PB000000,UC000000,TB000000,MI,Portland,Capacity building: financial systems and staff development.
CG-1104,Ostrander Family Fund,45-2468013,Clearwater Conservation Trust,94-3334445,517000,2023-01-15,2023-01-01,2025-01-01,SD000000; SB020000,PC040000,UC000000,TB000000,TX,Oakland,Project support for a two-year expansion of direct services.
CG-1105,Cascadia Community Trust,91-1234567,Harbor Health Partners,94-4445556,181000,2023-08-15,2023-08-01,2026-08-01,SC010000,PC010000,UC000000,TA000000,MI,Portland,Support for policy research and community organizing.
CG-1106,Merrivale Foundation,13-7654321,Meridian Legal Aid,94-8889990,491000,2023-01-15,2023-01-01,2026-01-01,SB050200,PC040000,UC000000,TC000000,WA,Seattle,General operating support for core programs.
CG-1107,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,611000,2021-12-15,2021-12-01,2022-12-01,SE000000,PC040000,UB000000,TB000000,NY,Portland,Capacity building: financial systems and staff development.
CG-1108,Cascadia Community Trust,91-1234567,Delta Arts Coalition,94-6667778,604000,2022-05-15,2022-05-01,2025-05-01,SE000000,PA010000,UA000000,TC000000,MI,Oakland,General operating support for core programs.
CG-1109,Merrivale Foundation,13-7654321,Foothills Literacy Project,94-5556667,227000,2021-07-15,2021-07-01,2024-07-01,SE000000,PA020000,UD010000,TB000000,NY,Seattle,Project support for a two-year expansion of direct services.
CG-1110,Ostrander Family Fund,45-2468013,Delta Arts Coalition,94-6667778,833000,2024-08-15,2024-08-01,2026-08-01,SB050200,PC010000,UA000000,TB000000,NY,Portland,Project support for a two-year expansion of direct services.
CG-1111,Cascadia Community Trust,91-1234567,Prairie Food Network,94-7778889,559000,2023-07-15,2023-07-01,2024-07-01,SR000000,PD010000,UB000000,TC000000,MI,Oakland,Project support for a two-year expansion of direct services.
CG-1112,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,309000,2022-11-15,2022-11-01,2024-11-01,SB050200; SD000000,PA010000,UD010000,TC000000,MI,Detroit,Project support for a two-year expansion of direct services.
CG-1113,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,174000,2023-11-15,2023-11-01,2025-11-01,SC010000,PB000000,UB000000,TC000000,MI,Portland,General operating support for core programs.
CG-1114,Cascadia Community Trust,91-1234567,Northside Youth Collective,94-1112223,834000,2021-11-15,2021-11-01,2022-11-01,SB050200,PC010000,UB000000,TA000000,NY,Portland,Project support for a two-year expansion of direct services.
CG-1115,Merrivale Foundation,13-7654321,Northside Youth Collective,94-1112223,607000,2021-08-15,2021-08-01,2024-08-01,SB020000,PA010000,UC000000,TB000000,OR,Detroit,Capacity building: financial systems and staff development.
CG-1116,Ostrander Family Fund,45-2468013,Northside Youth Collective,94-1112223,847000,2022-03-15,2022-03-01,2023-03-01,SC010000; SJ000000,PA020000,UD010000,TB000000,TX,Oakland,Project support for a two-year expansion of direct services.
CG-1117,Cascadia Community Trust,91-1234567,Delta Arts Coalition,94-6667778,339000,2022-07-15,2022-07-01,2025-07-01,SR000000,PA020000,UA000000,TC000000,MI,Oakland,Capacity building: financial systems and staff development.
CG-1118,Merrivale Foundation,13-7654321,Meridian Legal Aid,94-8889990,504000,2021-08-15,2021-08-01,2022-08-01,SD000000,PA010000,UB000000,TA000000,WA,Seattle,Support for policy research and community organizing.
CG-1119,Ostrander Family Fund,45-2468013,Foothills Literacy Project,94-5556667,717000,2022-04-15,2022-04-01,2023-04-01,SD000000,PC010000,UB000000,TA000000,WA,Portland,Support for policy research and community organizing.
